segment_id,role,text,start,end
1,Agent,"Hi, good afternoon.",0.0,1.3
2,Agent,Thanks for calling our priority hotline. My name is Amanda. Am I speaking to Kevin?,1.92,6.86
3,Customer,"Yeah, Kevin here. Who's this? Sales caller.",7.54,10.24
4,Customer,"I'm quite busy now, chasing timeline.",11.14,13.44
5,Agent,"Sorry to bother you, Kevin.",14.14,15.44
6,Agent,"I'll make it fast -fast, yeah?",15.86,17.1
7,Agent,I see your current line contract is actually ending this month.,17.48,21.5
8,Agent,So I'm calling to pass you an exclusive voucher to get a brand new 5G smartphone.,21.52,27.4
9,Agent,Zero upfront payment one.,27.82,29.58
10,Customer,"Free phone. No such thing as free lunch, lah, sis.",30.0,33.5
11,Customer,Surely got catch one.,33.88,35.02
12,Customer,"Later you upgrade my plan, then my monthly bill bomb up, then I cry only.",35.5,39.16
13,Customer,Better I just stay on my old plan.,39.56,41.18
14,Agent,"Haha, no catch lah, Kevin.",41.78,43.98
15,Agent,Don't worry.,44.34,44.94
16,Agent,"Your current plan is RM80, right?",45.54,47.92
17,Agent,"If you just upgrade slightly to our 5G Advanced plan at RM95,",48.14,53.54
18,Agent,you can get the latest Samsung or iPhone model for literally zero phone installment.,53.54,59.96
19,Agent,"Just add RM15 extra only, per month.",60.38,63.26
20,Customer,"15 RM only? But I need to log contract, right? How many years?",63.82,68.18
21,Customer,My phone now is actually a bit lagging already.,68.68,71.1
22,Customer,"Battery fast drain, but two years' contract is a bit long, lah.",71.46,74.88
23,Agent,"Yes, it's a 24-month contract. But think about it. If you buy this phone outside at retail price, it is easily RM1800.",74.88,85.52
24,Agent,"If you divide by 24 months, that's like 75 RM a month. With us, you only pay RM15 a month. Huge savings, kan?",85.92,95.0
25,Customer,"Hmm,",95.0,95.92
26,Customer,true also. My current phone battery really cannot make it already. Need to charge three times a day.,96.54,101.94
27,Customer,"If I buy new phone outside, quite pain to pay lump sum. What models can I choose from?",102.2,107.1
28,Agent,We have the latest model available in sleek black or matte silver.,107.42,111.92
29,Agent,"Plus, you don't even need to queue up at our outlet. We will courier the phone directly to your house or office for free.",112.26,119.14
30,Customer,"Okay lah, sounds like a solid deal. Since I also need a new phone anyway, might as well.",119.7,124.7
31,Customer,Can I choose the black colour one?,125.0,126.54
32,Agent,"Can, no problem.",127.06,128.22
33,Agent,Black colour looks very premium.,128.62,130.46
34,Agent,"I will lock down the stock for you in the system now, yeah?",130.92,133.4
35,Agent,Can I double-check your delivery address?,133.64,135.68
36,Customer,"Just ship to my office address registered in your system, lah. Easier.",136.32,139.6
37,Customer,"Thanks lah, Amanda.",140.02,140.74
38,Customer,"Luckily, I didn't hang up on you just now.",141.22,142.98
39,Agent,"Most welcome, Kevin.",143.52,144.7
40,Agent,Happy to help you get a good deal.,145.1,146.76
41,Agent,"The phone will arrive at your office in two to three working days, yeah? Have a great day ahead.",147.0,151.82
