segment_id,role,text,start,end
1,Agent,Selamat petang.,0.0,1.2
2,Agent,Terima kasih kerana menghubungi Takaful Bersatu. Nama saya Syifa.,1.64,5.68
3,Agent,Boleh saya bantu urusan Encik hari ini?,6.12,8.26
4,Customer,"Selamat petang, Encik Syifa. Saya Khairul di sini.",8.54,11.2
5,Customer,Saya ingin membuat semakkan tentang status tuntutan insurans perubatan saya bagi pembedahan minggu lepas.,11.56,17.36
6,Customer,Boleh tolong semakkan?,17.82,18.76
7,Agent,Boleh.,18.76,19.78
8,Agent,"Tiada masalah, Encik Khairul.",20.2,21.48
9,Agent,"Pertama sekali, saya harap Encik berada dalam keadaan sihat dan sedang berehat dengan baik selepas pembedahan.",21.84,28.02
10,Agent,"Boleh saya dapatkan nombor kad pengenalan atau nombor polisi insurans, Encik?",28.46,32.7
11,Customer,"Terima kasih atas keprihatinan, Encik. Alhamdulillah, saya semakin pulih.",32.86,36.82
12,Customer,Nombor polisi saya ialah TKF 987654.,37.34,42.66
13,Agent,"Terima kasih, Encik Khairul.",42.66,44.4
14,Agent,Mohon tunggu sebentar ya. Saya sedang membuka sistem.,44.86,47.44
15,Agent,Sila tunggu dalam talian.,47.84,49.18
16,Customer,"Baik, Encik Syifa. Sila ambil masa secukupnya. Saya tidak tergesa-gesa.",49.56,53.26
17,Agent,"Terima kasih kerana menunggu, Encik Khairul. Saya telah melihat rekod tuntutan Encik untuk pembedahan appendix di hospital pakar tempoh hari.",53.56,60.96
18,Agent,"Tuntutan ini sudah disemak. Cuma buat masa ini, statusnya adalah pembetulan dokumen.",61.42,66.66
19,Customer,"Oh, begitu. Boleh saya tahu dokumen apa yang belum lengkap atau tersilap? Supaya saya boleh sediakan dan hantar semula secepat mungkin.",66.66,74.48
20,Agent,"Mengikut nota daripada pihak penilai, kami memerlukan salinan laporan perubatan rasmi yang ditanda tangani oleh doktor pakar yang merawat Encik.",75.1,83.48
21,Agent,Dokumen yang dihantar sebelum ini cuma risid bayaran dan ringkasan keluar hospital sahaja.,83.9,89.28
22,Customer,"Ah, betul juga.",89.78,90.66
23,Customer,Laporan itu memang ada pada saya. Cuma saya terlepas pandang untuk imbas sekali hari itu.,91.1,95.7
24,Customer,Saya boleh emailkan laporan tersebut petang ini juga. Boleh saya tahu alamat email yang betul?,95.7,100.4
25,Agent,"Boleh, Encik Khairul. Encik boleh terus hantarkan ke email tuntutan kami di claim at takafulbersatu.com.my.",100.78,108.86
26,Agent,"Selepas email dihantar,",109.16,110.8
27,Agent,mohon Encik sertakan sekali nombor polisi Encik pada bahagian tajuk atau subjek email untuk memudahkan rujukan.,111.26,117.56
28,Customer,"Baik, saya faham dengan jelas. Saya akan pastikan nombor polisi diletakkan pada tajuk email.",117.86,123.26
29,Customer,Terima kasih banyak-banyak atas bantuan dan layanan yang sangat mesra daripada Encik Shifa petang ini.,123.26,128.08
30,Agent,Sama-sama Encik Khairul. Sudah menjadi tanggungjawab kami untuk membantu memudahkan urusan tuntutan Encik.,128.36,134.54
31,Agent,"Sebaik sahaja laporan diterima, kami akan teruskan proses kelulusan dalam masa tiga hari bekerja.",134.84,140.54
32,Agent,Selamat berehat dan selamat petang.,140.88,143.28
33,Agent,Terima kasih telah menonton!,143.28,143.36
