segment_id,role,text,start,end
1,Agent,"Yeah, what do you want? This is billing.",0.0,1.9
2,Customer,"Hi, I am calling because my bill is twice as high this month, and I do not understand why.",2.68,8.1
3,Agent,"Look, it's probably because you went over your data limit. Happens all the time.",8.56,12.46
4,Customer,But I have an unlimited data plan. I checked my contract before calling.,12.68,16.5
5,Agent,"Obviously, you don't or you wouldn't be charged.",16.94,19.38
6,Agent,Do you have your account number or are we just going to guess?,19.6,21.78
7,Customer,"Wow, okay, there is no need to be rude. My account number is 554321.",22.28,27.82
8,Agent,"I'm not being rude. I'm just busy, all right? Pulling it up now.",27.82,31.46
9,Agent,"Yeah, like I said, you bought three premium movies last week. That's why the bill is high.",31.94,36.38
10,Customer,I definitely did not buy any movies. I was out of town all of last week.,36.7,40.88
11,Agent,"Well, somebody in your house did. The system does not lie, so you have to pay it.",41.18,45.78
12,Customer,I live alone. No one else has access to my account. Can you please check the login locations?,46.04,50.86
13,Agent,"I'm not technical support. I just handle billing. The charge is there, so you owe the money.",51.34,55.94
14,Customer,I'm not paying for something I did not buy. I want to speak to your supervisor right now.,55.94,61.0
15,Agent,"Look, my supervisor is going to tell you the exact same thing. It's a waste of time.",61.52,65.92
16,Customer,I don't care. I want to speak to them. This is the worst customer service I have ever experienced.,66.32,71.26
17,Agent,"Fine, whatever. Hold on and do not hang up because I'm not calling you back.",71.78,75.88
18,Customer,Unbelievable.,76.56,77.0
19,Customer,Just transfer me already.,77.5,78.52
20,Agent,"Yeah, yeah, putting you in the queue. You might be waiting a while though. Bye.",79.04,82.32
21,Customer,Bye.,82.32,82.4
