segment_id,role,text,start,end
1,Agent,Hello.,0.0,0.56
2,Agent,Thank you for being a valued Horizon Mobile customer. My name is Chloe. Am I speaking with Jason today?,1.12,7.06
3,Customer,"Yeah, this is Jason.",7.62,8.72
4,Customer,"Look, if this is a sales call, I'm really not interested. I'm quite happy with my current phone plan.",9.08,14.24
5,Agent,"I completely understand, Jason. Your time is valuable, and I promise I won't waste it.",14.46,20.22
6,Agent,"I'm actually looking at your account data usage over the past three months, and I noticed you've been hitting your data limit early every single month.",20.4,28.14
7,Customer,"Yeah, well, that's because my kids use my hotspot when we are out. I just pay the extra overage charges on the bill. It's fine. I really don't need a more expensive plan.",28.66,37.12
8,Agent,That's exactly why I'm calling. What if I told you that you could get completely unlimited high-speed data plus a free streaming subscription for $5 less than what you are currently paying with those extra charges?,37.82,50.62
9,Customer,"Wait,",50.62,51.46
10,Customer,less? How is it less?,51.98,54.06
11,Customer,Usually these upgrades end up costing me way more after a few months. Is there a hidden catch here?,54.42,59.7
12,Agent,"No catch at all, Jason. Because you've been a loyal customer with us for over three years, you qualify for our Loyalty Unlimited tier.",60.1,68.22
13,Agent,"Your current bill averages $60 due to those extra data fees. This upgrade is a flat $55 a month, locked in for two years.",68.48,77.48
14,Customer,Huh.,77.48,78.3
15,Customer,$55 fixed? And you said it comes with a streaming subscription?,78.8,82.38
16,Customer,Which one is it?,82.82,83.82
17,Agent,Yes. It includes a free standard Netflix subscription for as long as you keep the plan. So you'd actually save on your phone bill and stop paying for Netflix separately if you already have it.,84.32,95.3
18,Customer,Wow. Okay. We actually do pay for Netflix separately right now. So that would save us another $15.,95.64,102.12
19,Customer,"Honestly, that sounds like a pretty good deal.",103.06,105.08
20,Agent,"It really is one of our best exclusive offers. I can apply this change to your account right now, and the unlimited data will kick in immediately for your family. Would you like me to go ahead with that?",105.08,116.48
21,Customer,Yeah. Let's do it. Might as well save some money and stop worrying about the kids using up all the data.,116.86,121.9
22,Agent,"Perfect. I've just updated your account, and you'll receive a confirmation email with your new details and your Netflix activation link in a few minutes. Thank you so much for your time, Jason, and have a wonderful day.",122.52,134.56
23,Customer,Thank you.,134.56,134.58
