segment_id,role,text,start,end
1,Agent,Selamat pagi.,0.0,0.9
2,Agent,Terima kasih kerana menghubungi My Career Care.,1.26,3.64
3,Agent,Nama saya Syahrul. Boleh saya bantu urusan Puan hari ini?,4.0,7.38
4,Customer,Selamat pagi Encik Syahrul. Saya Linda di sini. Saya ada satu barang yang sepatutnya dihantar ke pejabat saya hari ini. Tetapi saya terpaksa bercuti kecemasan. Boleh saya mohon tukar alamat penghantaran ke rumah saya?,7.6,21.28
5,Agent,Boleh. Tiada masalah Puan Linda. Kami sedia membantu mengubah suai laluan penghantaran tersebut. Boleh saya dapatkan nombor penjejakan atau tracing nombor barang Puan?,21.28,31.76
6,Customer,Boleh. Sekejap ya.,32.04,33.36
7,Customer,Nombor penjejakannya ialah MYC777821.,33.86,41.28
8,Agent,Terima kasih Puan Linda. Sila tunggu sebentar ya. Saya semak status terkini barangan Puan dalam sistem.,41.8,47.5
9,Customer,Baik. Silakan Encik Syahrul. Terima kasih.,47.82,50.08
10,Agent,Terima kasih kerana menunggu Puan Linda. Saya nampak barang Puan sekarang berada di Hub Agihan Syah Alam dan dijadualkan untuk keluar bersama Korea Petang ini. Jadi kita memang sempat untuk tukar alamat sebelum barang dibawa keluar.,50.08,63.5
11,Customer,Oh. Alhamdulillah.,63.88,65.16
12,Customer,Mujur saya telefon awal.,65.7,66.92
13,Customer,Jadi apa maklumat yang Encik perlukan untuk proses penukaran alamat ini ya?,67.3,71.6
14,Agent,"Demi keselamatan barang Puan, boleh saya sahkan nama penuh penerima dan alamat pejabat asal yang tertera pada bungkusan tersebut?",71.92,78.78
15,Customer,Boleh.,78.78,79.4
16,Customer,"Nama penuh saya Linda binti Ahmad dan alamat asal ialah Menara Merdeka,",79.9,85.34
17,Customer,"tingkat 12,",85.7,86.48
18,Customer,"Jalan Ampang, Kuala Lumpur.",86.88,88.28
19,Agent,Pengesahan data adalah tepat. Terima kasih Puan Linda.,88.54,91.56
20,Agent,Sekarang boleh Puan berikan alamat baharu yang lengkap beserta poskod untuk saya kemas kini?,92.0,96.26
21,Customer,"Alamat baharu ialah nombor 15,",96.26,98.84
22,Customer,"Jalan Melati 3,",99.24,100.6
23,Customer,"Taman Melati,",101.26,102.14
24,Customer,"4300,",102.56,103.48
25,Customer,"Kajang, Selangor.",104.32,105.22
26,Agent,Baik. Saya dah kemas kini alamat baharu ke Sistem Agihan Hub Syah Alam. Sistem akan menjadualkan semula penghantaran ke kawasan Kajang dan barang Puan dijangka sampai ke rumah esok pagi. Puan juga akan terima SMS penjejakan baharu sebentar lagi.,105.52,119.38
27,Customer,"Bagus sangat. Semuanya jelas dan cepat. Terima kasih banyak-banyak atas bantuan dan hikmat yang sangat efisien petang ini, Encik Syahrol. Sangat menyenangkan urusan saya.",119.38,128.98
28,Agent,"Sama -sama, Puan Linda.",129.46,130.72
29,Agent,Sudah menjadi tugas kami untuk pastikan barang Puan sampai ke tangan dengan selamat. Semoga urusan kecemasan Puan dipermudahkan. Selamat pagi.,131.1,139.12
