call_id,start_sec,system_text,human_text,text_similarity,combined_score,system_role,human_role,label_correct,matched,text_override,override_phrase,status
eng_rudecust_05,0.0,"Oh my god, thank goodness you answered. I think my account was hacked. I just go","Oh my god, thank goodness you answered. I think my account was hacked. I just go",1.0,1.0,Customer,Customer,True,True,False,,✅ CORRECT
eng_rudecust_05,11.24,"Sarah,","Sarah,",1.0,1.0,Agent,Agent,True,True,False,,✅ CORRECT
eng_rudecust_05,12.14,"please take a deep breath. I know this is incredibly stressful, but you are in t","please take a deep breath. I know this is incredibly stressful, but you are in t",1.0,1.0,Agent,Agent,True,True,False,,✅ CORRECT
eng_rudecust_05,18.68,"I am looking at your profile right now, and I can protect your funds.","I am looking at your profile right now, and I can protect your funds.",1.0,1.0,Agent,Agent,True,True,False,,✅ CORRECT
eng_rudecust_05,23.46,"First, let's secure the account. Can you confirm your date of birth for me?","First, let's secure the account. Can you confirm your date of birth for me?",1.0,1.0,Agent,Agent,True,True,False,,✅ CORRECT
eng_rudecust_05,28.8,"It's October 14th, 1992.","It's October 14th, 1992.",1.0,1.0,Customer,Customer,True,True,False,,✅ CORRECT
eng_rudecust_05,32.58,"Please, that's my entire rent money. Are they taking more? Can you stop it?","Please, that's my entire rent money. Are they taking more? Can you stop it?",1.0,1.0,Customer,Customer,True,True,False,,✅ CORRECT
eng_rudecust_05,37.64,"Thank you, Sarah.","Thank you, Sarah.",1.0,1.0,Agent,Agent,True,True,False,,✅ CORRECT
eng_rudecust_05,39.02,I have successfully initiated a temporary freeze on your entire account.,I have successfully initiated a temporary freeze on your entire account.,1.0,1.0,Agent,Agent,True,True,False,,✅ CORRECT
eng_rudecust_05,44.58,No money can move in or out right now. The hackers are completely locked out.,No money can move in or out right now. The hackers are completely locked out.,1.0,1.0,Agent,Agent,True,True,False,,✅ CORRECT
eng_rudecust_05,50.78,"Wait,","Wait,",1.0,1.0,Customer,Customer,True,True,False,,✅ CORRECT
eng_rudecust_05,51.78,so they can't take anything else? Are you sure?,so they can't take anything else? Are you sure?,1.0,1.0,Customer,Customer,True,True,False,,✅ CORRECT
eng_rudecust_05,56.42,Absolutely sure. The account is completely locked down. I also see the pending $,Absolutely sure. The account is completely locked down. I also see the pending $,1.0,1.0,Agent,Agent,True,True,False,,✅ CORRECT
eng_rudecust_05,72.18,"Oh, thank God. I was literally shaking.","Oh, thank God. I was literally shaking.",1.0,1.0,Customer,Customer,True,True,False,,✅ CORRECT
eng_rudecust_05,76.62,I clicked on a link in a text message earlier that looked like it was from you g,I clicked on a link in a text message earlier that looked like it was from you g,1.0,1.0,Customer,Customer,True,True,False,,✅ CORRECT
eng_rudecust_05,82.92,"Please don't blame yourself, Sarah.","Please don't blame yourself, Sarah.",1.0,1.0,Agent,Agent,True,True,False,,✅ CORRECT
eng_rudecust_05,85.48,These phishing scams are incredibly sophisticated nowadays.,These phishing scams are incredibly sophisticated nowadays.,1.0,1.0,Customer,Agent,False,True,False,,❌ WRONG
eng_rudecust_05,89.38,Anyone could have fallen for it. The important thing is that you acted fast.,Anyone could have fallen for it. The important thing is that you acted fast.,1.0,1.0,Agent,Agent,True,True,False,,✅ CORRECT
eng_rudecust_05,94.72,I've successfully blocked the transfer so your money is safe.,I've successfully blocked the transfer so your money is safe.,1.0,1.0,Agent,Agent,True,True,False,,✅ CORRECT
eng_rudecust_05,98.46,"Thank you so much, Alex.","Thank you so much, Alex.",1.0,1.0,Customer,Customer,True,True,False,,✅ CORRECT
eng_rudecust_05,101.5,"Seriously, what do I need to do next?","Seriously, what do I need to do next?",1.0,1.0,Customer,Customer,True,True,False,,✅ CORRECT
eng_rudecust_05,104.34,I'm going to send a secure link to your registered mobile number right now to he,I'm going to send a secure link to your registered mobile number right now to he,1.0,1.0,Agent,Agent,True,True,False,,✅ CORRECT
eng_rudecust_05,111.4,"Once you do that, we'll lift the freeze.","Once you do that, we'll lift the freeze.",1.0,1.0,Agent,Agent,True,True,False,,✅ CORRECT
eng_rudecust_05,113.8,Is there anything else I can do to help ease your mind today?,Is there anything else I can do to help ease your mind today?,1.0,1.0,Agent,Agent,True,True,False,,✅ CORRECT
eng_rudecust_05,117.16,"No,","No,",1.0,1.0,Customer,Customer,True,True,False,,✅ CORRECT
eng_rudecust_05,118.02,that's everything.,that's everything.,1.0,1.0,Customer,Customer,True,True,False,,✅ CORRECT
eng_rudecust_05,119.24,You've been an absolute lifesaver.,You've been an absolute lifesaver.,1.0,1.0,Customer,Customer,True,True,False,,✅ CORRECT
eng_rudecust_05,121.82,Thank you.,Thank you.,1.0,1.0,Customer,Customer,True,True,False,,✅ CORRECT
eng_rudecust_05,122.62,"You're very welcome, Sarah.","You're very welcome, Sarah.",1.0,1.0,Agent,Agent,True,True,False,,✅ CORRECT
eng_rudecust_05,125.34,Stay safe and have a wonderful rest of your day.,Stay safe and have a wonderful rest of your day.,1.0,1.0,Agent,Agent,True,True,False,,✅ CORRECT
