call_id,start_sec,system_text,human_text,text_similarity,combined_score,system_role,human_role,label_correct,text_override,override_phrase,status
internet_english,0.0,Thank you for calling ConnectNet Technical Support. My name is Alex. How can I h,Thank you for calling ConnectNet technical support my name is Alex how can I hel,0.984,0.99,Agent,Agent,True,False,,✅ CORRECT
internet_english,5.3,My internet is down again. This is the third time this week and I am sick of it.,My internet is down again this is the third time this week and I am sick of it,0.987,0.935,Customer,Customer,True,False,,✅ CORRECT
internet_english,10.74,I apologize for the inconvenience. Let me pull up your account. Can I get your a,I apologize for the inconvenience let me pull up your account can I get your acc,0.984,0.924,Agent,Agent,True,False,,✅ CORRECT
internet_english,15.86,Are you kidding me? I just typed it into the automated system. Why do I have to ,Are you kidding me I just typed it into the automated system why do I have to re,0.984,0.902,Customer,Customer,True,False,,✅ CORRECT
internet_english,21.62,I understand your frustration. Sometimes the system does not pass the informatio,I understand your frustration sometimes the system does not pass the information,0.813,0.685,Agent,Agent,True,False,,✅ CORRECT
internet_english,28.48,Fine. It is 987-6543. Hurry up! I work from home and I am losing money!,Fine it is nine eight seven six five four three hurry up I work from home and I ,0.711,0.701,Customer,Customer,True,False,,✅ CORRECT
internet_english,37.36,Thank you. Give me one moment while I run a diagnostic on your connection.,Thank you give me one moment while I run a diagnostic on your connection,0.986,0.861,Agent,Agent,True,True,give me one moment,✅ CORRECT
internet_english,41.46,Whatever. Just fix it. Your company is a complete joke.,Whatever just fix it your company is a complete joke,0.972,0.725,Customer,Customer,True,True,your company is a complete joke,✅ CORRECT
internet_english,45.28,I am seeing a line error in your area. Our technicians are actually already work,I am seeing a line error in your area our technicians are actually already worki,0.99,0.813,Agent,Agent,True,True,line error in your area,✅ CORRECT
internet_english,51.9,I do not care about nodes or line errors. I care about when I can get back onlin,I do not care about nodes or line errors I care about when I can get back online,0.904,0.673,Customer,Customer,True,True,i do not care about nodes,✅ CORRECT
internet_english,59.24,The estimated time of resolution is within the next two hours.,The estimated time of resolution is within the next two hours,0.992,0.607,Agent,Agent,True,False,,✅ CORRECT
internet_english,63.88,Two hours? Are you out of your mind? I have a meeting in 20 minutes. This is una,Two hours are you out of your mind I have a meeting in twenty minutes this is un,0.933,0.657,Customer,Customer,True,False,,✅ CORRECT
internet_english,69.4,I sincerely apologize for the disruption. We can offer you a credit through the ,I sincerely apologize for the disruption we can offer you a credit for the days ,0.953,0.626,Agent,Agent,True,False,,✅ CORRECT
internet_english,75.98,Keep your stupid $5 credit. I want a manager right now.,Keep your stupid five dollar credit I want a manager right now,0.872,0.523,Customer,Customer,True,False,,✅ CORRECT
internet_english,80.58,I can certainly transfer you to the supervisor. Please hold on the line for a br,I can certainly transfer you to a supervisor please hold on the line for a brief,0.966,0.58,Agent,Agent,True,False,,✅ CORRECT
internet_english,85.24,Do not put me on hold. Hello? Hello? Do not you dare put me on hold.,Do not put me on hold hello hello do not you dare put me on hold,0.97,0.582,Customer,Customer,True,True,do not put me on hold,✅ CORRECT
internet_english,91.3,"Sir, I have to place you on a brief hold to connect to the supervisor and will o",Sir I have to place you on a brief hold to connect the supervisor it will only b,0.946,0.568,Agent,Agent,True,False,,✅ CORRECT
internet_english,96.4,"If you put me on hold, I'm canceling my service today. I swear.",If you put me on hold I am canceling my service today I swear,0.952,0.571,Customer,Customer,True,True,canceling my service today,✅ CORRECT
internet_english,100.84,I'm transferring you now. Please stay on line.,I am transferring you now please stay on the line,0.905,0.543,Agent,Agent,True,False,,✅ CORRECT
internet_english,103.68,You guys are absolutely useless.,You guys are absolutely useless,0.984,0.59,Customer,Customer,True,True,you guys are absolutely,✅ CORRECT
