call_id,start_sec,system_text,human_text,text_similarity,combined_score,system_role,human_role,label_correct,text_override,override_phrase,status
billing_english,0.0,"Yeah, what do you want? This is Billy. Hi, I am calling because my bill is twice",Yeah what do you want this is billing,0.592,0.622,Customer,Agent,False,False,,❌ WRONG
billing_english,6.0,"this month and I do not understand why. Look, it's probably because you went ove",Hi I am calling because my bill is twice as high this month and I do not underst,0.427,0.6,Customer,Customer,True,False,,✅ CORRECT
billing_english,10.66,data limit. Happens all the time. But I have an unlimited data plan. I checked m,Look it is probably because you went over your data limit happens all the time,0.369,0.557,Customer,Agent,False,False,,❌ WRONG
billing_english,15.84,"before calling. Obviously, you don't or you wouldn't be charged. Do you have you",But I have an unlimited data plan I checked my contract before calling,0.176,0.506,Agent,Customer,False,True,do you have your,❌ WRONG
billing_english,20.42,"number or are we just going to guess? Wow, okay, there is no need to be rude. My",Obviously you do not or you would not be charged do you have your account number,0.364,0.453,Customer,Agent,False,False,,❌ WRONG
billing_english,25.46,"number is 554321. I'm not being rude. I'm just busy, right? Pulling it up now. Y",I am not being rude I am just busy alright pulling it up now,0.688,0.413,Agent,Agent,True,True,pulling it up now,✅ CORRECT
billing_english,32.9,you bought three premium movies last week. That's why the bill is high. I defini,Yeah like I said you bought three premium movies last week that is why the bill ,0.727,0.436,Customer,Agent,False,False,,❌ WRONG
billing_english,38.58,"movies. I was out of town all of last week. Well, somebody in your house did. Th",Well somebody in your house did the system does not lie so you have to pay it,0.586,0.352,Agent,Agent,True,True,somebody in your house,✅ CORRECT
billing_english,44.26,lie. So you have to pay it. I live alone. No one else has access to my account. ,I live alone no one else has access to my account can you please check the login,0.737,0.442,Customer,Customer,True,False,,✅ CORRECT
billing_english,49.86,the login locations? I'm not technical support. I just handle billing. The charg,I definitely did not buy any movies I was out of town all of last week,0.251,0.521,Agent,Customer,False,True,i just handle billing,❌ WRONG
billing_english,55.42,owe the money. I'm not paying for something I did not buy. I want to speak to yo,I am not paying for something I did not buy I want to speak to your supervisor r,0.877,0.526,Customer,Customer,True,False,,✅ CORRECT
billing_english,60.76,"now. Look, my supervisor is going to tell you the exact same thing. It's a waste",Look my supervisor is going to tell you the exact same thing it is a waste of ti,0.865,0.519,Agent,Agent,True,True,my supervisor is going to tell you,✅ CORRECT
billing_english,67.24,I want to speak to them. This is the worst customer service I have ever experien,I do not care I want to speak to them this is the worst customer service I have ,0.882,0.529,Customer,Customer,True,False,,✅ CORRECT
billing_english,72.3,Whatever. Hold on and do not hang up because I'm not calling you back. Unbelieva,Fine whatever hold on and do not hang up because I am not calling you back,0.822,0.493,Agent,Agent,True,True,hold on and do not hang up,✅ CORRECT
billing_english,77.62,transfer me already. Yeah. Putting you in the queue. You might be waiting a whil,Yeah yeah putting you in the queue you might be waiting a while though bye,0.857,0.514,Agent,Agent,True,True,putting you in the queue,✅ CORRECT
