call_id,start_sec,system_text,human_text,text_similarity,combined_score,system_role,human_role,label_correct,text_override,override_phrase,status
food_malay,0.0,"Samap petang, pusat bantuan makan sini, saya cik.",Selamat petang Pusat Bantuan Makan Sini saya Siti Boleh saya bantu encik,0.744,0.846,Agent,Agent,True,False,,✅ CORRECT
food_malay,5.16,"Hello, cik.",Hello Siti saya nak tanya pasal pesanan saya tadi Saya baru perasan ada barang y,0.131,0.479,Customer,Customer,True,False,,✅ CORRECT
food_malay,11.96,"Minta maaf atas kesulitan tersebut, cik. Boleh saya dapatkan nombor pesanan cik ",Minta maaf atas kesulitan tersebut encik Boleh saya dapatkan nombor pesanan enci,0.966,0.899,Agent,Agent,True,False,,✅ CORRECT
food_malay,18.28,Nombo dia MS8821.,Nombor dia M S lapan lapan dua satu Saya pesan set nasi lemak ayam berempah deng,0.154,0.492,Customer,Customer,True,False,,✅ CORRECT
food_malay,27.94,Nasi dengan sambal saja ada.,Saya faham perasaan encik saya pun akan kecewa kalau jadi macam ni Berdasarkan r,0.183,0.51,Customer,Agent,False,False,,❌ WRONG
food_malay,31.86,Saya faham perasaan ujik. Saya pun akan kecewa kalau jadi macam ni.,Encik nak saya pulangkan duit atau encik nak baucar untuk pesanan akan datang,0.306,0.569,Agent,Agent,True,False,,✅ CORRECT
food_malay,36.42,Berdasarkan rekod pesanan ujik memang sepatutnya ada ayam.,Kalau boleh saya nak refund sajalah sebab saya dah lapar sangat ni kena beli mak,0.278,0.557,Agent,Customer,False,False,,❌ WRONG
food_malay,40.02,"Encik nak saya pulangkan duit, refund untuk bahagian ayam itu atau encik nak bau",Baiklah saya akan uruskan proses bayaran balik serta merta Proses ini akan menga,0.259,0.361,Customer,Agent,False,False,,❌ WRONG
food_malay,46.14,"Kalau boleh, saya nak refund sahajalah. Sebab saya dah lapar sangat ni, kena bel",Okaylah kalau macam tu Harap lepas ni pihak restoran lebih peka lah ya jangan cu,0.445,0.38,Customer,Customer,True,True,saya nak,✅ CORRECT
food_malay,56.6,Proses ini akan mengambil masa dalam 24 jam untuk masuk semula ke dalam e-wallet,Betul encik kami akan hantar maklum balas tegas kepada pihak restoran Ada apa ap,0.268,0.526,Customer,Agent,False,False,,❌ WRONG
